"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"TOTAL NUMBER OF RACES REPORTED","",""
"    Total population","83,710","±8,098"
"        One race","84.7%","±2.6"
"        Two races","14.5%","±2.6"
"        Three races","0.8%","±0.5"
"        Four or more races","0.1%","±0.1"
"SEX AND AGE","",""
"    Total population","83,710","±8,098"
"        Male","44.6%","±2.2"
"        Female","55.4%","±2.2"
"    Under 5 years","6.5%","±1.1"
"    5 to 17 years","14.6%","±2.0"
"    18 to 24 years","6.9%","±1.3"
"    25 to 34 years","14.2%","±2.0"
"    35 to 44 years","15.1%","±1.9"
"    45 to 54 years","12.3%","±1.6"
"    55 to 64 years","12.9%","±2.2"
"    65 to 74 years","11.2%","±1.8"
"    75 years and over","6.3%","±1.5"
"    Median age (years)","40.3","±1.4"
"    18 years and over","78.9%","±2.1"
"    21 years and over","76.9%","±2.2"
"    62 years and over","21.7%","±2.7"
"    65 years and over","17.5%","±2.3"
"    Under 18 years","17,674","±2,424"
"        Male","55.2%","±4.9"
"        Female","44.8%","±4.9"
"    18 years and over","66,036","±6,704"
"        Male","41.7%","±2.4"
"        Female","58.3%","±2.4"
"    18 to 34 years","17,653","±2,511"
"        Male","46.0%","±5.3"
"        Female","54.0%","±5.3"
"    35 to 64 years","33,720","±4,195"
"        Male","43.0%","±3.6"
"        Female","57.0%","±3.6"
"    65 years and over","14,663","±2,125"
"        Male","33.7%","±4.6"
"        Female","66.3%","±4.6"
"RELATIONSHIP","",""
"    Population in households","82,643","±8,091"
"        Householder or spouse","49.5%","±3.2"
"        Child","28.1%","±2.5"
"        Other relatives","15.5%","±4.2"
"        Nonrelatives","6.9%","±1.6"
"            Unmarried partner","2.2%","±0.7"
"HOUSEHOLDS BY TYPE","",""
"    Households","26,139","±2,447"
"        Family households","69.6%","±4.5"
"            With own children of the householder under 18 years","32.7%","±4.7"
"            Married-couple family","47.1%","±4.9"
"                With own children of the householder under 18 years","23.4%","±4.2"
"            Female householder, no husband present, family","16.6%","±3.9"
"                With own children of the householder under 18 years","7.0%","±3.0"
"        Nonfamily households","30.4%","±4.5"
"            Male householder","12.2%","±3.1"
"                Living alone","8.2%","±2.6"
"                Not living alone","4.0%","±1.9"
"            Female householder","18.2%","±3.8"
"                Living alone","14.2%","±3.8"
"                Not living alone","4.0%","±1.6"
"    Average household size","2.99","±0.24"
"    Average family size","3.55","±0.25"
"MARITAL STATUS","",""
"    Population 15 years and over","67,926","±6,772"
"        Now married, except separated","52.1%","±3.6"
"        Widowed","5.7%","±1.6"
"        Divorced","6.7%","±1.8"
"        Separated","1.2%","±0.6"
"        Never married","34.2%","±3.0"
"    Male 15 years and over","28,853","±3,650"
"        Now married, except separated","53.1%","±4.7"
"        Widowed","1.2%","±0.9"
"        Divorced","5.5%","±2.8"
"        Separated","0.3%","±0.4"
"        Never married","39.9%","±4.6"
"    Female 15 years and over","39,073","±3,799"
"        Now married, except separated","51.4%","±4.3"
"        Widowed","9.0%","±2.6"
"        Divorced","7.6%","±2.0"
"        Separated","1.9%","±1.0"
"        Never married","30.1%","±3.5"
"SCHOOL ENROLLMENT","",""
"    Population 3 years and over enrolled in school","20,420","±2,748"
"        Nursery school, preschool","9.0%","±2.9"
"        Kindergarten","4.0%","±1.8"
"        Elementary school (grades 1-8)","40.9%","±6.2"
"        High school (grades 9-12)","12.3%","±4.8"
"        College or graduate school","33.8%","±5.5"
"    Male 3 years and over enrolled in school","9,952","±1,655"
"        Percent enrolled in kindergarten to grade 12","63.1%","±7.9"
"        Percent enrolled in college or graduate school","24.3%","±7.1"
"    Female 3 years and over enrolled in school","10,468","±1,775"
"        Percent enrolled in kindergarten to grade 12","51.7%","±7.4"
"        Percent enrolled in college or graduate school","42.8%","±6.2"
"EDUCATIONAL ATTAINMENT","",""
"    Population 25 years and over","60,253","±6,231"
"        Less than high school diploma","2.4%","±1.1"
"        High school graduate (includes equivalency)","7.5%","±2.5"
"        Some college or associate's degree","23.9%","±3.1"
"        Bachelor's degree","54.9%","±3.9"
"        Graduate or professional degree","11.3%","±1.9"
"    High school graduate or higher","97.6%","±1.1"
"        Male, high school graduate or higher","97.4%","±1.6"
"        Female, high school graduate or higher","97.7%","±1.2"
"    Bachelor's degree or higher","66.2%","±4.0"
"        Male, bachelor's degree or higher","62.5%","±6.9"
"        Female, bachelor's degree or higher","68.8%","±4.0"
"FERTILITY","",""
"    Women 15 to 50 years","21,032","±2,277"
"        Women 15 to 50 years who had a birth in the past 12 months","1,472","±639"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","N","N"
"                As a percent of all women with a birth in the past 12 months","21.5%","±19.0"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","",""
"    Population 30 years and over","55,166","±6,036"
"        Grandparents living with grandchild(ren)","6.3%","±3.2"
"            Grandparents responsible for grandchildren as a percentage of living with grandchildren","15.1%","±14.0"
"VETERAN STATUS","",""
"    Civilian population 18 years and over","65,860","±6,698"
"        Civilian veteran","1.5%","±0.7"
"DISABILITY STATUS","",""
"    Total civilian noninstitutionalized population","83,341","±8,028"
"        With a disability","7.2%","±1.6"
"    Civilian noninstitutionalized population under 18 years","17,674","±2,424"
"        With a disability","2.6%","±2.1"
"    Civilian noninstitutionalized population 18 to 64 years","51,163","±5,888"
"        With a disability","3.2%","±1.5"
"    Civilian noninstitutionalized population 65 years and older","14,504","±2,084"
"        With a disability","27.0%","±6.4"
"RESIDENCE 1 YEAR AGO","",""
"    Population 1 year and over","82,497","±8,038"
"        Same house","87.1%","±3.0"
"        Different house in the U.S.","11.8%","±2.9"
"            Same county","9.0%","±2.8"
"            Different county","2.8%","±1.2"
"                Same state","1.2%","±1.0"
"                Different state","1.5%","±0.7"
"        Abroad","1.1%","±0.7"
