"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"TOTAL NUMBER OF RACES REPORTED","",""
"    Total population","83,472","±7,400"
"        One race","87.4%","±2.1"
"        Two races","12.0%","±2.0"
"        Three races","0.3%","±0.2"
"        Four or more races","0.3%","±0.3"
"SEX AND AGE","",""
"    Total population","83,472","±7,400"
"        Male","44.1%","±2.1"
"        Female","55.9%","±2.1"
"    Under 5 years","6.2%","±1.8"
"    5 to 17 years","15.7%","±2.0"
"    18 to 24 years","7.1%","±1.4"
"    25 to 34 years","15.7%","±2.2"
"    35 to 44 years","15.9%","±1.9"
"    45 to 54 years","12.7%","±1.8"
"    55 to 64 years","13.0%","±2.1"
"    65 to 74 years","9.1%","±1.5"
"    75 years and over","4.6%","±1.1"
"    Median age (years)","39.0","±2.2"
"    18 years and over","78.1%","±2.6"
"    21 years and over","75.0%","±2.6"
"    62 years and over","16.9%","±2.1"
"    65 years and over","13.7%","±1.7"
"    Under 18 years","18,242","±3,062"
"        Male","51.2%","±5.2"
"        Female","48.8%","±5.2"
"    18 years and over","65,230","±5,586"
"        Male","42.2%","±2.1"
"        Female","57.8%","±2.1"
"    18 to 34 years","19,079","±2,640"
"        Male","47.2%","±3.8"
"        Female","52.8%","±3.8"
"    35 to 64 years","34,724","±3,436"
"        Male","42.2%","±3.0"
"        Female","57.8%","±3.0"
"    65 years and over","11,427","±1,565"
"        Male","33.7%","±3.9"
"        Female","66.3%","±3.9"
"RELATIONSHIP","",""
"    Population in households","82,785","±7,421"
"        Householder or spouse","50.3%","±2.5"
"        Child","30.3%","±2.6"
"        Other relatives","12.3%","±2.6"
"        Nonrelatives","7.0%","±1.5"
"            Unmarried partner","1.9%","±0.8"
"HOUSEHOLDS BY TYPE","",""
"    Households","26,959","±2,114"
"        Family households","69.9%","±4.9"
"            With own children under 18 years","28.3%","±4.2"
"            Married-couple family","48.9%","±5.1"
"                With own children under 18 years","21.1%","±4.1"
"            Female householder, no husband present, family","14.6%","±3.4"
"                With own children under 18 years","4.3%","±2.0"
"        Nonfamily households","30.1%","±4.9"
"            Male householder","12.0%","±3.3"
"                Living alone","8.0%","±2.9"
"                Not living alone","4.0%","±1.9"
"            Female householder","18.0%","±3.9"
"                Living alone","14.1%","±3.8"
"                Not living alone","3.9%","±1.6"
"    Average household size","2.86","±0.19"
"    Average family size","3.38","±0.18"
"MARITAL STATUS","",""
"    Population 15 years and over","68,620","±5,838"
"        Now married, except separated","51.1%","±3.1"
"        Widowed","4.9%","±1.3"
"        Divorced","7.5%","±2.0"
"        Separated","3.1%","±1.1"
"        Never married","33.4%","±3.0"
"    Male 15 years and over","29,114","±2,710"
"        Now married, except separated","51.2%","±4.0"
"        Widowed","2.1%","±1.2"
"        Divorced","4.2%","±2.2"
"        Separated","3.2%","±2.2"
"        Never married","39.3%","±4.0"
"    Female 15 years and over","39,506","±3,823"
"        Now married, except separated","51.0%","±3.9"
"        Widowed","7.0%","±2.1"
"        Divorced","9.9%","±2.5"
"        Separated","2.9%","±1.1"
"        Never married","29.1%","±3.8"
"SCHOOL ENROLLMENT","",""
"    Population 3 years and over enrolled in school","20,979","±2,532"
"        Nursery school, preschool","4.0%","±1.9"
"        Kindergarten","4.4%","±2.4"
"        Elementary school (grades 1-8)","39.5%","±5.4"
"        High school (grades 9-12)","16.8%","±3.4"
"        College or graduate school","35.3%","±5.3"
"    Male 3 years and over enrolled in school","10,795","±1,608"
"        Percent enrolled in kindergarten to grade 12","61.2%","±7.2"
"        Percent enrolled in college or graduate school","36.1%","±6.9"
"    Female 3 years and over enrolled in school","10,184","±1,688"
"        Percent enrolled in kindergarten to grade 12","60.1%","±7.0"
"        Percent enrolled in college or graduate school","34.4%","±6.6"
"EDUCATIONAL ATTAINMENT","",""
"    Population 25 years and over","59,273","±5,094"
"        Less than high school diploma","4.7%","±1.2"
"        High school graduate (includes equivalency)","10.2%","±3.3"
"        Some college or associate's degree","23.0%","±3.0"
"        Bachelor's degree","47.8%","±4.0"
"        Graduate or professional degree","14.3%","±2.4"
"    High school graduate or higher","95.3%","±1.2"
"        Male, high school graduate or higher","95.1%","±1.8"
"        Female, high school graduate or higher","95.5%","±1.4"
"    Bachelor's degree or higher","62.1%","±4.0"
"        Male, bachelor's degree or higher","54.5%","±5.8"
"        Female, bachelor's degree or higher","67.4%","±4.3"
"FERTILITY","",""
"    Women 15 to 50 years","23,436","±2,865"
"        Women 15 to 50 years who had a birth in the past 12 months","961","±493"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","N","N"
"                As a percent of all women with a birth in the past 12 months","N","N"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","",""
"    Population 30 years and over","53,241","±4,751"
"        Living with grandchild(ren)","3.2%","±1.4"
"            Responsible for grandchild(ren)","N","N"
"VETERAN STATUS","",""
"    Civilian population 18 years and over","65,230","±5,586"
"        Civilian veteran","1.1%","±0.5"
"DISABILITY STATUS","",""
"    Total civilian noninstitutionalized population","83,472","±7,400"
"        With a disability","7.7%","±1.5"
"    Civilian noninstitutionalized population under 18 years","18,242","±3,062"
"        With a disability","2.1%","±1.5"
"    Civilian noninstitutionalized population 18 to 64 years","53,803","±4,863"
"        With a disability","3.8%","±1.3"
"    Civilian noninstitutionalized population 65 years and older","11,427","±1,565"
"        With a disability","35.2%","±5.9"
"RESIDENCE 1 YEAR AGO","",""
"    Population 1 year and over","82,407","±7,406"
"        Same house","83.7%","±4.2"
"        Different house in the U.S.","13.7%","±2.9"
"            Same county","11.1%","±2.7"
"            Different county","2.6%","±1.1"
"                Same state","1.1%","±0.7"
"                Different state","1.6%","±0.9"
"        Abroad","2.6%","±2.5"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","",""
"    Native","30,397","±3,615"
"        Male","51.9%","±3.8"
"        Female","48.1%","±3.8"
"    Foreign born","53,075","±5,716"
"        Male","39.7%","±2.5"
"        Female","60.3%","±2.5"
"    Foreign born; naturalized U.S. citizen","34,591","±4,035"
"        Male","39.5%","±3.2"
"        Female","60.5%","±3.2"
"    Foreign born; not a U.S. citizen","18,484","±4,019"
"        Male","40.0%","±5.3"
"        Female","60.0%","±5.3"
"    Population born outside the United States","53,075","±5,716"
"        Entered 2010 or later","8.8%","±4.1"
"        Entered 2000 to 2009","28.1%","±4.7"
"        Entered before 2000","63.1%","±6.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","",""
"    Foreign-born population excluding population born at sea","53,075","±5,716"
"        Europe","N","N"
"        Asia","N","N"
"        Africa","N","N"
"        Oceania","N","N"
"        Latin America","N","N"
"        Northern America","N","N"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","",""
"    Population 5 years and over","78,332","±6,666"
"        English only","32.9%","±3.4"
"        Language other than English","67.1%","±3.4"
"            Speak English less than ""very well""","20.7%","±3.7"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","67,453","±5,693"
