"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"TOTAL NUMBER OF RACES REPORTED","",""
"    Total population","78,113","±7,316"
"    One race","86.6%","±3.0"
"    Two races","12.2%","±2.8"
"    Three races","1.1%","±0.8"
"    Four or more races","0.0%","±0.1"
"SEX AND AGE","",""
"    Total population","78,113","±7,316"
"    Male","45.6%","±2.3"
"    Female","54.4%","±2.3"
"    Under 5 years","7.3%","±1.6"
"    5 to 17 years","14.0%","±2.0"
"    18 to 24 years","8.6%","±2.1"
"    25 to 34 years","15.0%","±2.7"
"    35 to 44 years","19.2%","±2.3"
"    45 to 54 years","11.4%","±1.6"
"    55 to 64 years","11.2%","±1.9"
"    65 to 74 years","9.2%","±1.4"
"    75 years and over","4.2%","±1.1"
"    Median age (years)","38.1","±1.7"
"    18 years and over","78.8%","±2.4"
"    21 years and over","76.0%","±2.3"
"    62 years and over","15.9%","±1.9"
"    65 years and over","13.4%","±1.7"
"    Under 18 years","16,591","±2,587"
"    Male","55.4%","±5.2"
"    Female","44.6%","±5.2"
"    18 years and over","61,522","±5,788"
"    Male","43.0%","±2.3"
"    Female","57.0%","±2.3"
"    18 to 34 years","18,488","±3,403"
"    Male","48.6%","±4.6"
"    Female","51.4%","±4.6"
"    35 to 64 years","32,574","±3,389"
"    Male","42.8%","±3.3"
"    Female","57.2%","±3.3"
"    65 years and over","10,460","±1,350"
"    Male","33.5%","±4.9"
"    Female","66.5%","±4.9"
"RELATIONSHIP","",""
"    Population in households","77,762","±7,314"
"    Householder or spouse","48.9%","±2.9"
"    Child","29.9%","±2.6"
"    Other relatives","15.1%","±3.1"
"    Nonrelatives","6.2%","±1.7"
"        Unmarried partner","1.7%","±0.7"
"HOUSEHOLDS BY TYPE","",""
"    Households","23,724","±2,363"
"    Family households","72.4%","±4.6"
"        With own children under 18 years","31.0%","±5.2"
"        Married-couple family","52.3%","±4.9"
"            With own children under 18 years","23.7%","±4.8"
"        Female householder, no husband present, family","16.1%","±3.7"
"            With own children under 18 years","5.9%","±2.8"
"    Nonfamily households","27.6%","±4.6"
"        Male householder","13.3%","±4.3"
"            Living alone","10.0%","±3.9"
"            Not living alone","3.2%","±2.4"
"        Female householder","14.3%","±3.3"
"            Living alone","10.7%","±3.3"
"            Not living alone","3.6%","±1.6"
"    Average household size","2.97","±0.17"
