"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"TOTAL NUMBER OF RACES REPORTED","",""
"    Total population","88,862","±6,792"
"        One race","85.7%","±3.5"
"        Two races","12.8%","±3.1"
"        Three races","1.1%","±0.8"
"        Four or more races","0.4%","±0.6"
"SEX AND AGE","",""
"    Total population","88,862","±6,792"
"        Male","43.7%","±2"
"        Female","56.3%","±2"
"        Under 5 years","5.4%","±1.3"
"        5 to 17 years","15.3%","±2.2"
"        18 to 24 years","7.1%","±1.9"
"        25 to 34 years","13.7%","±1.9"
"        35 to 44 years","14%","±2"
"        45 to 54 years","14.7%","±1.9"
"        55 to 64 years","12.3%","±2.1"
"        65 to 74 years","10.5%","±1.7"
"        75 years and over","7.1%","±1.4"
"        Median age (years)","41.3","±2"
"        18 years and over","79.3%","±2.6"
"        21 years and over","76.2%","±2.6"
"        62 years and over","21.6%","±2.3"
"        65 years and over","17.6%","±2"
"        Under 18 years","18,357","±2,598"
"            Male","54.2%","±5.2"
"            Female","45.8%","±5.2"
"        18 years and over","70,505","±6,075"
"            Male","41%","±2.1"
"            Female","59%","±2.1"
"        18 to 34 years","18,441","±2,484"
"            Male","42.3%","±5.3"
"            Female","57.7%","±5.3"
"        35 to 64 years","36,446","±3,669"
"            Male","42.7%","±3"
"            Female","57.3%","±3"
"        65 years and over","15,618","±2,280"
"            Male","35.3%","±3.9"
"            Female","64.7%","±3.9"
"RELATIONSHIP","",""
"    Population in households","87,942","±6,777"
"        Householder or spouse","51.2%","±3.2"
"        Child","28.6%","±2.8"
"        Other relatives","12.4%","±2.3"
"        Nonrelatives","7.9%","±3.7"
"            Unmarried partner","1.7%","±0.8"
"HOUSEHOLDS BY TYPE","",""
"    Households","28,119","±2,651"
"        Family households","68%","±5.3"
"            With own children of the householder under 18 years","23.5%","±4.8"
"        Married-couple family","51.3%","±5.4"
"            With own children of the householder under 18 years","18.5%","±4.2"
"        Female householder, no husband present, family","11.7%","±3.3"
"            With own children of the householder under 18 years","4.8%","±2.4"
"        Nonfamily households","32%","±5.3"
"            Male householder","10.4%","±2.8"
"                Living alone","7.7%","±2.4"
"                Not living alone","2.7%","±1.6"
"            Female householder","21.6%","±4.4"
"                Living alone","18%","±4.3"
"                Not living alone","3.6%","±2.2"
"        Average household size","2.78","±0.19"
"        Average family size","3.33","±0.17"
"MARITAL STATUS","",""
"    Population 15 years and over","73,525","±6,206"
"        Now married, except separated","51.4%","±3.2"
"        Widowed","6%","±1.5"
"        Divorced","8.1%","±1.8"
"        Separated","1.2%","±0.7"
"        Never married","33.4%","±3"
"    Male 15 years and over","30,279","±3,109"
"        Now married, except separated","53.9%","±4.9"
"        Widowed","2.5%","±2"
"        Divorced","5.9%","±2.5"
"        Separated","0.3%","±0.5"
"        Never married","37.4%","±5.1"
"    Female 15 years and over","43,246","±3,775"
"        Now married, except separated","49.6%","±3.6"
"        Widowed","8.4%","±2"
"        Divorced","9.6%","±2.7"
"        Separated","1.8%","±1.1"
"        Never married","30.5%","±3.3"
"SCHOOL ENROLLMENT","",""
"    Population 3 years and over enrolled in school","22,015","±2,396"
"        Nursery school, preschool","5.7%","±2.6"
"        Kindergarten","9.2%","±3.9"
"        Elementary school (grades 1-8)","33.1%","±5.6"
"        High school (grades 9-12)","17.8%","±4.7"
"        College or graduate school","34.1%","±5.6"
"    Male 3 years and over enrolled in school","10,387","±1,719"
"        Percent enrolled in kindergarten to grade 12","65.9%","±7.3"
