"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"TOTAL NUMBER OF RACES REPORTED","",""
"    Total population","75,230","±7,004"
"        One race","86.4%","±2.0"
"        Two races","12.5%","±1.8"
"        Three races","0.8%","±0.5"
"        Four or more races","0.3%","±0.3"
"SEX AND AGE","",""
"    Total population","75,230","±7,004"
"        Male","45.5%","±2.0"
"        Female","54.5%","±2.0"
"    Under 5 years","5.1%","±1.0"
"    5 to 17 years","13.8%","±2.1"
"    18 to 24 years","8.5%","±1.6"
"    25 to 34 years","15.0%","±1.9"
"    35 to 44 years","16.5%","±1.7"
"    45 to 54 years","14.0%","±2.1"
"    55 to 64 years","12.5%","±1.5"
"    65 to 74 years","9.8%","±1.8"
"    75 years and over","4.8%","±1.3"
"    Median age (years)","40.0","±2.0"
"    18 years and over","81.1%","±2.1"
"    21 years and over","77.4%","±2.2"
"    62 years and over","17.8%","±2.3"
"    65 years and over","14.6%","±2.1"
"    Under 18 years","14,237","±2,190"
"        Male","51.6%","±5.7"
"        Female","48.4%","±5.7"
"    18 years and over","60,993","±5,702"
"        Male","44.0%","±2.2"
"        Female","56.0%","±2.2"
"    18 to 34 years","17,661","±2,272"
"        Male","49.5%","±5.3"
"        Female","50.5%","±5.3"
"    35 to 64 years","32,357","±3,520"
"        Male","42.3%","±3.1"
"        Female","57.7%","±3.1"
"    65 years and over","10,975","±1,802"
"        Male","40.5%","±4.7"
"        Female","59.5%","±4.7"
"RELATIONSHIP","",""
"    Population in households","74,390","±6,942"
"        Householder or spouse","50.7%","±2.8"
"        Child","29.3%","±2.6"
"        Other relatives","14.6%","±2.6"
"        Nonrelatives","5.5%","±1.6"
"            Unmarried partner","1.3%","±0.5"
"HOUSEHOLDS BY TYPE","",""
"    Households","23,580","±1,981"
"        Family households","69.2%","±4.9"
"            With own children of the householder under 18 years","26.4%","±3.7"
"            Married-couple family","51.5%","±4.6"
"                With own children of the householder under 18 years","20.5%","±3.3"
"            Female householder, no husband present, family","14.5%","±3.6"
"                With own children of the householder under 18 years","5.0%","±2.1"
"        Nonfamily households","30.8%","±4.9"
"            Male householder","13.0%","±3.1"
"                Living alone","8.0%","±2.5"
"                Not living alone","4.9%","±2.2"
"            Female householder","17.8%","±4.2"
"                Living alone","14.5%","±3.9"
"                Not living alone","3.3%","±1.5"
"    Average household size","2.97","±0.19"
"    Average family size","3.52","±0.17"
"MARITAL STATUS","",""
"    Population 15 years and over","63,190","±5,822"
"        Now married, except separated","51.9%","±3.5"
"        Widowed","4.5%","±1.5"
"        Divorced","6.3%","±1.8"
"        Separated","1.2%","±0.7"
"        Never married","36.1%","±2.7"
"    Male 15 years and over","27,893","±3,140"
"        Now married, except separated","51.2%","±3.9"
"        Widowed","1.7%","±1.1"
"        Divorced","4.7%","±2.1"
"        Separated","0.4%","±0.4"
"        Never married","42.0%","±3.7"
"    Female 15 years and over","35,297","±3,255"
"        Now married, except separated","52.5%","±4.6"
"        Widowed","6.7%","±2.5"
"        Divorced","7.6%","±2.8"
"        Separated","1.9%","±1.1"
"        Never married","31.4%","±3.5"
"SCHOOL ENROLLMENT","",""
"    Population 3 years and over enrolled in school","18,814","±2,907"
"        Nursery school, preschool","5.0%","±2.1"
"        Kindergarten","6.1%","±2.3"
"        Elementary school (grades 1-8)","32.1%","±5.2"
"        High school (grades 9-12)","15.6%","±3.4"
"        College or graduate school","41.2%","±5.6"
"    Male 3 years and over enrolled in school","10,251","±1,870"
"        Percent enrolled in kindergarten to grade 12","53.1%","±8.7"
"        Percent enrolled in college or graduate school","44.4%","±8.9"
"    Female 3 years and over enrolled in school","8,563","±1,515"
