"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination!!Estimate","Cook County, Illinois!!Filipino alone or in any combination!!Margin of Error"
"TOTAL NUMBER OF RACES REPORTED","",""
"    Total population","90,566","±7,695"
"        One race","84.3%","±2.9"
"        Two races","13.0%","±2.8"
"        Three races","2.4%","±1.4"
"        Four or more races","0.2%","±0.3"
"SEX AND AGE","",""
"    Total population","90,566","±7,695"
"        Male","45.0%","±2.3"
"        Female","55.0%","±2.3"
"        Under 5 years","5.0%","±1.6"
"        5 to 17 years","16.5%","±2.1"
"        18 to 24 years","5.6%","±1.2"
"        25 to 34 years","13.6%","±2.2"
"        35 to 44 years","17.7%","±2.5"
"        45 to 54 years","13.1%","±2.3"
"        55 to 64 years","11.0%","±2.0"
"        65 to 74 years","10.1%","±1.8"
"        75 years and over","7.4%","±1.5"
"        Median age (years)","40.0","±1.5"
"        18 years and over","78.5%","±2.0"
"        21 years and over","76.5%","±2.2"
"        62 years and over","20.9%","±2.6"
"        65 years and over","17.5%","±2.4"
"        Under 18 years","19,453","±2,625"
"            Male","51.9%","±7.0"
"            Female","48.1%","±7.0"
"        18 years and over","71,113","±6,044"
"            Male","43.1%","±2.4"
"            Female","56.9%","±2.4"
"        18 to 34 years","17,425","±2,523"
"            Male","49.4%","±6.1"
"            Female","50.6%","±6.1"
"        35 to 64 years","37,850","±3,946"
"            Male","43.0%","±3.4"
"            Female","57.0%","±3.4"
"        65 years and over","15,838","±2,544"
"            Male","36.2%","±4.7"
"            Female","63.8%","±4.7"
"RELATIONSHIP","",""
"    Population in households","89,893","±7,661"
"        Householder or spouse","55.6%","±2.8"
"        Unmarried partner","2.1%","±0.8"
"        Child","27.7%","±2.5"
"        Other relatives","11.5%","±3.0"
"        Other nonrelatives","3.1%","±1.4"
"HOUSEHOLDS BY TYPE","",""
"    Households","32,190","±2,880"
"        Family households","71.8%","±4.2"
"            With own children of the householder under 18 years","28.0%","±4.2"
"        Married-couple family","51.4%","±4.9"
"            With own children of the householder under 18 years","21.0%","±3.4"
"        Female householder, no spouse present, family","15.4%","±3.8"
"            With own children of the householder under 18 years","4.5%","±2.1"
"        Nonfamily households","28.2%","±4.2"
"            Male householder","11.0%","±3.1"
"                Living alone","7.1%","±2.0"
"                Not living alone","4.0%","±2.5"
"            Female householder","17.1%","±3.8"
"                Living alone","12.9%","±3.4"
"                Not living alone","4.3%","±2.3"
"        Average household size","2.69","±0.14"
"        Average family size","3.07","±0.15"
"MARITAL STATUS","",""
"    Population 15 years and over","74,070","±6,210"
"        Now married, except separated","53.4%","±3.4"
"        Widowed","4.9%","±1.2"
"        Divorced","5.7%","±1.4"
"        Separated","2.9%","±1.3"
"        Never married","33.1%","±3.2"
"    Male 15 years and over","31,930","±3,097"
"        Now married, except separated","54.9%","±4.4"
"        Widowed","0.8%","±0.5"
"        Divorced","4.4%","±1.6"
"        Separated","1.9%","±1.6"
"        Never married","38.0%","±4.1"
"    Female 15 years and over","42,140","±4,044"
"        Now married, except separated","52.2%","±4.1"
"        Widowed","8.1%","±2.1"
"        Divorced","6.7%","±1.9"
"        Separated","3.7%","±1.8"
"        Never married","29.3%","±4.1"
"SCHOOL ENROLLMENT","",""
"    Population 3 years and over enrolled in school","22,932","±3,355"
"        Nursery school, preschool","8.0%","±4.6"
"        Kindergarten","3.0%","±1.6"
"        Elementary school (grades 1-8)","43.0%","±5.2"
"        High school (grades 9-12)","17.3%","±3.5"
