"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination!!Estimate","Cook County, Illinois!!Filipino alone or in any combination!!Margin of Error"
"TOTAL NUMBER OF RACES REPORTED","",""
"    Total population","72,344","±6,851"
"    One race","88.2%","±3.4"
"    Two races","11.0%","±3.3"
"    Three races","0.8%","±0.5"
"    Four or more races","0.0%","±0.2"
"SEX AND AGE","",""
"    Total population","72,344","±6,851"
"    Male","47.0%","±2.7"
"    Female","53.0%","±2.7"
"    Under 5 years","6.6%","±1.8"
"    5 to 17 years","12.5%","±2.5"
"    18 to 24 years","8.0%","±1.9"
"    25 to 34 years","20.0%","±2.6"
"    35 to 44 years","15.2%","±2.4"
"    45 to 54 years","9.4%","±1.9"
"    55 to 64 years","15.5%","±2.2"
"    65 to 74 years","9.0%","±1.6"
"    75 years and over","3.8%","±1.1"
"    Median age (years)","36.6","±2.3"
"    18 years and over","80.9%","±2.8"
"    21 years and over","79.0%","±2.9"
"    62 years and over","16.8%","±2.3"
"    65 years and over","12.8%","±1.9"
"    Under 18 years","13,839","±2,897"
"    Male","58.3%","±10.1"
"    Female","41.7%","±10.1"
"    18 years and over","58,505","±4,968"
"    Male","44.4%","±2.5"
"    Female","55.6%","±2.5"
"    18 to 34 years","20,249","±2,639"
"    Male","49.5%","±6.3"
"    Female","50.5%","±6.3"
"    35 to 64 years","29,020","±3,250"
"    Male","41.2%","±3.6"
"    Female","58.8%","±3.6"
"    65 years and over","9,236","±1,348"
"    Male","43.0%","±5.8"
"    Female","57.0%","±5.8"
"RELATIONSHIP","",""
"    Population in households","71,862","±6,869"
"    Householder or spouse","53.2%","±3.3"
"    Child","30.6%","±2.9"
"    Other relatives","11.3%","±2.8"
"    Nonrelatives","4.9%","±1.9"
"        Unmarried partner","2.0%","±0.9"
"HOUSEHOLDS BY TYPE","",""
"    Households","24,310","±2,322"
"    Family households","70.8%","±4.9"
"        With own children under 18 years","23.4%","±4.3"
"        Married-couple family","55.1%","±5.0"
"            With own children under 18 years","19.5%","±3.8"
"        Female householder, no husband present, family","13.3%","±4.3"
"            With own children under 18 years","2.8%","±1.7"
"    Nonfamily households","29.2%","±4.9"
"        Male householder","13.7%","±3.5"
"            Living alone","11.6%","±3.4"
"            Not living alone","2.2%","±1.1"
"        Female householder","15.5%","±3.8"
"            Living alone","13.2%","±3.5"
"            Not living alone","2.3%","±1.9"
"    Average household size","2.81","±0.20"
"    Average family size","3.40","±0.22"
"MARITAL STATUS","",""
"    Population 15 years and over","60,639","±5,225"
"    Now married, except separated","53.2%","±3.3"
"    Widowed","5.0%","±1.4"
"    Divorced","5.1%","±1.8"
"    Separated","0.6%","±0.4"
"    Never married","36.1%","±2.7"
"    Male 15 years and over","26,786","±2,828"
"    Now married, except separated","54.5%","±4.4"
"    Widowed","1.5%","±1.3"
"    Divorced","4.2%","±2.3"
"    Separated","0.6%","±0.4"
"    Never married","39.3%","±4.5"
"    Female 15 years and over","33,853","±3,187"
"    Now married, except separated","52.2%","±5.0"
"    Widowed","7.8%","±2.2"
"    Divorced","5.9%","±2.5"
"    Separated","0.7%","±0.6"
"    Never married","33.5%","±4.6"
"SCHOOL ENROLLMENT","",""
"    Population 3 years and over enrolled in school","17,410","±2,958"
"    Nursery school, preschool","6.3%","±2.8"
"    Kindergarten","5.2%","±2.8"
"    Elementary school (grades 1-8)","31.4%","±7.9"
"    High school (grades 9-12)","14.1%","±4.5"
"    College or graduate school","42.9%","±8.1"
"    Male 3 years and over enrolled in school","9,224","±2,059"
