"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"TOTAL NUMBER OF RACES REPORTED","",""
"    Total population","79,608","±8,752"
"        One race","86.3%","±2.5"
"        Two races","12.6%","±2.3"
"        Three races","1.1%","±0.7"
"        Four or more races","0.0%","±0.2"
"SEX AND AGE","",""
"    Total population","79,608","±8,752"
"        Male","45.3%","±2.0"
"        Female","54.7%","±2.0"
"    Under 5 years","4.5%","±1.2"
"    5 to 17 years","15.0%","±2.2"
"    18 to 24 years","9.2%","±1.7"
"    25 to 34 years","13.8%","±2.1"
"    35 to 44 years","16.2%","±2.2"
"    45 to 54 years","14.4%","±2.3"
"    55 to 64 years","13.0%","±2.0"
"    65 to 74 years","8.5%","±1.5"
"    75 years and over","5.2%","±1.2"
"    Median age (years)","39.6","±1.6"
"    18 years and over","80.4%","±2.3"
"    21 years and over","75.4%","±2.6"
"    62 years and over","17.6%","±2.3"
"    65 years and over","13.8%","±2.0"
"    Under 18 years","15,589","±2,755"
"        Male","53.9%","±5.4"
"        Female","46.1%","±5.4"
"    18 years and over","64,019","±6,919"
"        Male","43.2%","±2.1"
"        Female","56.8%","±2.1"
"    18 to 34 years","18,345","±2,885"
"        Male","42.6%","±4.8"
"        Female","57.4%","±4.8"
"    35 to 64 years","34,713","±3,989"
"        Male","45.3%","±2.5"
"        Female","54.7%","±2.5"
"    65 years and over","10,961","±1,828"
"        Male","37.4%","±4.3"
"        Female","62.6%","±4.3"
"RELATIONSHIP","",""
"    Population in households","78,715","±8,689"
"        Householder or spouse","47.1%","±3.0"
"        Child","35.7%","±2.8"
"        Other relatives","11.7%","±2.3"
"        Nonrelatives","5.6%","±1.5"
"            Unmarried partner","0.8%","±0.4"
"HOUSEHOLDS BY TYPE","",""
"    Households","22,226","±1,886"
"        Family households","72.0%","±4.4"
"            With own children under 18 years","26.4%","±3.6"
"            Married-couple family","56.8%","±4.4"
"                With own children under 18 years","22.5%","±3.7"
"            Female householder, no husband present, family","12.4%","±4.1"
"                With own children under 18 years","3.1%","±2.2"
"        Nonfamily households","28.0%","±4.4"
"            Male householder","11.3%","±3.7"
"                Living alone","9.6%","±3.4"
"                Not living alone","1.8%","±1.3"
"            Female householder","16.7%","±3.4"
"                Living alone","13.7%","±3.1"
"                Not living alone","3.0%","±1.8"
"    Average household size","3.17","±0.23"
"    Average family size","3.82","±0.21"
"MARITAL STATUS","",""
"    Population 15 years and over","67,038","±7,102"
"        Now married, except separated","49.9%","±4.2"
"        Widowed","5.4%","±1.5"
"        Divorced","5.5%","±1.7"
"        Separated","1.6%","±0.9"
"        Never married","37.7%","±2.6"
"    Male 15 years and over","29,061","±3,172"
"        Now married, except separated","53.8%","±3.7"
"        Widowed","1.3%","±0.9"
"        Divorced","5.3%","±4.1"
"        Separated","1.5%","±1.0"
"        Never married","38.1%","±3.3"
"    Female 15 years and over","37,977","±4,424"
"        Now married, except separated","46.9%","±5.2"
"        Widowed","8.5%","±2.5"
"        Divorced","5.6%","±1.7"
"        Separated","1.7%","±1.5"
"        Never married","37.3%","±4.7"
"SCHOOL ENROLLMENT","",""
"    Population 3 years and over enrolled in school","21,504","±3,512"
"        Nursery school, preschool","5.2%","±2.7"
"        Kindergarten","3.2%","±1.9"
"        Elementary school (grades 1-8)","35.0%","±6.2"
"        High school (grades 9-12)","17.1%","±3.1"
"        College or graduate school","39.5%","±5.9"
"    Male 3 years and over enrolled in school","10,531","±2,041"
"        Percent enrolled in kindergarten to grade 12","59.1%","±8.1"
"        Percent enrolled in college or graduate school","34.5%","±7.8"
"    Female 3 years and over enrolled in school","10,973","±1,934"
"        Percent enrolled in kindergarten to grade 12","51.7%","±7.6"
"        Percent enrolled in college or graduate school","44.3%","±7.7"
"EDUCATIONAL ATTAINMENT","",""
"    Population 25 years and over","56,694","±6,521"
"        Less than high school diploma","3.2%","±1.3"
"        High school graduate (includes equivalency)","6.1%","±1.4"
"        Some college or associate's degree","28.4%","±5.0"
"        Bachelor's degree","52.5%","±3.7"
"        Graduate or professional degree","9.9%","±2.2"
"    High school graduate or higher","96.8%","±1.3"
"        Male, high school graduate or higher","96.8%","±1.8"
"        Female, high school graduate or higher","96.8%","±1.6"
"    Bachelor's degree or higher","62.4%","±4.3"
"        Male, bachelor's degree or higher","57.0%","±5.5"
"        Female, bachelor's degree or higher","66.4%","±4.8"
"FERTILITY","",""
"    Women 15 to 50 years","23,059","±3,076"
"        Women 15 to 50 years who had a birth in the past 12 months","636","±326"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","262","±237"
"                As a percent of all women with a birth in the past 12 months","41.2%","±25.6"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","",""
"    Population 30 years and over","50,744","±5,872"
"        Living with grandchild(ren)","5.9%","±2.1"
"            Responsible for grandchild(ren)","N","N"
"VETERAN STATUS","",""
"    Civilian population 18 years and over","64,019","±6,919"
"        Civilian veteran","2.1%","±0.9"
"DISABILITY STATUS","",""
"    Total civilian noninstitutionalized population","79,409","±8,745"
"        With a disability","9.3%","±1.6"
"    Civilian noninstitutionalized population under 18 years","15,589","±2,755"
"        With a disability","2.4%","±2.2"
"    Civilian noninstitutionalized population 18 to 64 years","52,904","±6,161"
"        With a disability","6.0%","±1.5"
"    Civilian noninstitutionalized population 65 years and older","10,916","±1,813"
"        With a disability","35.0%","±6.9"
"RESIDENCE 1 YEAR AGO","",""
"    Population 1 year and over","79,096","±8,637"
"        Same house","85.9%","±3.0"
"        Different house in the U.S.","12.8%","±2.9"
"            Same county","11.3%","±2.8"
"            Different county","1.4%","±0.8"
"                Same state","0.2%","±0.2"
"                Different state","1.3%","±0.8"
"        Abroad","1.3%","±0.9"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","",""
"    Native","31,183","±4,793"
"        Male","48.9%","±3.4"
"        Female","51.1%","±3.4"
"    Foreign born","48,425","±5,232"
"        Male","42.9%","±2.9"
"        Female","57.1%","±2.9"
"    Foreign born; naturalized U.S. citizen","35,542","±4,587"
"        Male","41.1%","±3.5"
"        Female","58.9%","±3.5"
"    Foreign born; not a U.S. citizen","12,883","±2,415"
"        Male","48.1%","±6.8"
"        Female","51.9%","±6.8"
"    Population born outside the United States","48,425","±5,232"
"        Entered 2010 or later","8.5%","±2.3"
"        Entered 2000 to 2009","25.0%","±4.3"
"        Entered before 2000","66.6%","±4.5"
