Label,Estimate,Margin of Error
    Population 16 years and over,"66,253","±7,091"
        In labor force,72.9%,±2.3
            Civilian labor force,72.9%,±2.3
                Employed,67.0%,±2.7
                Unemployed,5.9%,±1.8
                    Percent of civilian labor force,8.1%,±2.4
            Armed Forces,0.0%,±0.2
        Not in labor force,27.1%,±2.3
    Females 16 years and over,"37,535","±4,388"
        In labor force,72.7%,±3.7
            Civilian labor force,72.7%,±3.7
                Employed,69.0%,±4.1
                Unemployed,3.7%,±1.6
                    Percent of civilian labor force,5.1%,±2.2
