Label,Estimate,Margin of Error
    Population 25 years and over,"56,694","±6,521"
        Less than high school diploma,3.2%,±1.3
        High school graduate (includes equivalency),6.1%,±1.4
        Some college or associate's degree,28.4%,±5.0
        Bachelor's degree,52.5%,±3.7
        Graduate or professional degree,9.9%,±2.2
    High school graduate or higher,96.8%,±1.3
"        Male, high school graduate or higher",96.8%,±1.8
"        Female, high school graduate or higher",96.8%,±1.6
    Bachelor's degree or higher,62.4%,±4.3
"        Male, bachelor's degree or higher",57.0%,±5.5
"        Female, bachelor's degree or higher",66.4%,±4.8
