Label,Estimate,Margin of Error
    Total population,"79,608","±8,752"
        Male,45.3%,±2.0
        Female,54.7%,±2.0
    Under 5 years,4.5%,±1.2
    5 to 17 years,15.0%,±2.2
    18 to 24 years,9.2%,±1.7
    25 to 34 years,13.8%,±2.1
    35 to 44 years,16.2%,±2.2
    45 to 54 years,14.4%,±2.3
    55 to 64 years,13.0%,±2.0
    65 to 74 years,8.5%,±1.5
    75 years and over,5.2%,±1.2
    Median age (years),39.6,±1.6
    18 years and over,80.4%,±2.3
    21 years and over,75.4%,±2.6
    62 years and over,17.6%,±2.3
    65 years and over,13.8%,±2.0
    Under 18 years,"15,589","±2,755"
        Male,53.9%,±5.4
        Female,46.1%,±5.4
    18 years and over,"64,019","±6,919"
        Male,43.2%,±2.1
        Female,56.8%,±2.1
    18 to 34 years,"18,345","±2,885"
        Male,42.6%,±4.8
        Female,57.4%,±4.8
    35 to 64 years,"34,713","±3,989"
        Male,45.3%,±2.5
        Female,54.7%,±2.5
    65 years and over,"10,961","±1,828"
        Male,37.4%,±4.3
        Female,62.6%,±4.3
