Label,Estimate,Margin of Error
    Population 15 years and over,"67,038","±7,102"
"        Now married, except separated",49.9%,±4.2
        Widowed,5.4%,±1.5
        Divorced,5.5%,±1.7
        Separated,1.6%,±0.9
        Never married,37.7%,±2.6
    Male 15 years and over,"29,061","±3,172"
"        Now married, except separated",53.8%,±3.7
        Widowed,1.3%,±0.9
        Divorced,5.3%,±4.1
        Separated,1.5%,±1.0
        Never married,38.1%,±3.3
    Female 15 years and over,"37,977","±4,424"
"        Now married, except separated",46.9%,±5.2
        Widowed,8.5%,±2.5
        Divorced,5.6%,±1.7
        Separated,1.7%,±1.5
        Never married,37.3%,±4.7
