Label,Estimate,Margin of Error
    Native,"31,183","±4,793"
        Male,48.9%,±3.4
        Female,51.1%,±3.4
    Foreign born,"48,425","±5,232"
        Male,42.9%,±2.9
        Female,57.1%,±2.9
    Foreign born; naturalized U.S. citizen,"35,542","±4,587"
        Male,41.1%,±3.5
        Female,58.9%,±3.5
    Foreign born; not a U.S. citizen,"12,883","±2,415"
        Male,48.1%,±6.8
        Female,51.9%,±6.8
    Population born outside the United States,"48,425","±5,232"
        Entered 2010 or later,8.5%,±2.3
        Entered 2000 to 2009,25.0%,±4.3
        Entered before 2000,66.6%,±4.5
