Label,Estimate,Margin of Error
    All families,3.7%,±2.3
        With related children under 18 years,5.1%,±4.0
            With related children under 5 years only,N,N
        Married-couple family,N,N
            With related children under 18 years,6.6%,±5.2
                With related children under 5 years only,N,N
"        Female householder, no husband present, family",N,N
            With related children under 18 years,N,N
                With related children under 5 years only,N,N
    All people,5.5%,±2.1
        Under 18 years,6.3%,±4.6
            Related children under 18 years,6.3%,±4.6
                Related children under 5 years,5.3%,±5.3
                Related children 5 to 17 years,6.6%,±5.1
        18 years and over,5.2%,±1.8
        18 to 64 years,5.5%,±2.1
        65 years and over,3.8%,±3.0
        People in families,3.9%,±2.3
        Unrelated individuals 15 years and over,14.9%,±5.6
