Label,Estimate,Margin of Error
    Population 15 years and over,"67,018","±5,106"
"        Now married, except separated",51.7%,±3.0
        Widowed,4.1%,±1.2
        Divorced,6.1%,±1.6
        Separated,1.0%,±0.6
        Never married,37.1%,±2.8
    Male 15 years and over,"28,226","±2,684"
"        Now married, except separated",53.7%,±4.7
        Widowed,2.8%,±1.7
        Divorced,2.8%,±1.5
        Separated,0.5%,±0.6
        Never married,40.3%,±3.9
    Female 15 years and over,"38,792","±3,364"
"        Now married, except separated",50.2%,±3.6
        Widowed,5.1%,±1.6
        Divorced,8.5%,±2.5
        Separated,1.4%,±0.9
        Never married,34.7%,±3.9
