Label,Estimate,Margin of Error
    Population 25 years and over,"58,058","±4,549"
        Less than high school diploma,4.1%,±1.5
        High school graduate (includes equivalency),7.6%,±1.3
        Some college or associate's degree,26.3%,±3.4
        Bachelor's degree,51.7%,±3.5
        Graduate or professional degree,10.3%,±2.0
    High school graduate or higher,95.9%,±1.5
"        Male, high school graduate or higher",96.7%,±1.8
"        Female, high school graduate or higher",95.3%,±1.7
    Bachelor's degree or higher,62.0%,±3.6
"        Male, bachelor's degree or higher",59.3%,±5.2
"        Female, bachelor's degree or higher",64.0%,±4.4
