Label,Estimate,Margin of Error
    Total population,"81,632","±6,453"
        Male,44.6%,±2.3
        Female,55.4%,±2.3
    Under 5 years,5.5%,±1.0
    5 to 17 years,16.2%,±1.7
    18 to 24 years,7.3%,±1.3
    25 to 34 years,15.3%,±2.1
    35 to 44 years,18.0%,±1.9
    45 to 54 years,11.6%,±1.8
    55 to 64 years,11.5%,±1.7
    65 to 74 years,9.7%,±1.3
    75 years and over,5.0%,±1.1
    Median age (years),38.6,±1.3
    18 years and over,78.4%,±1.8
    21 years and over,75.5%,±1.9
    62 years and over,17.6%,±1.8
    65 years and over,14.7%,±1.7
    Under 18 years,"17,650","±2,334"
        Male,53.1%,±4.7
        Female,46.9%,±4.7
    18 years and over,"63,982","±4,787"
        Male,42.2%,±2.4
        Female,57.8%,±2.4
    18 to 34 years,"18,392","±2,067"
        Male,44.1%,±5.5
        Female,55.9%,±5.5
    35 to 64 years,"33,568","±3,154"
        Male,43.8%,±3.1
        Female,56.2%,±3.1
    65 years and over,"12,022","±1,669"
        Male,35.0%,±4.8
        Female,65.0%,±4.8
