Label,Estimate,Margin of Error
    Households,"25,286","±2,393"
        Family households,69.3%,±5.2
            With own children of the householder under 18 years,29.8%,±4.2
            Married-couple family,54.3%,±5.0
                With own children of the householder under 18 years,23.6%,±3.6
"            Female householder, no husband present, family",11.8%,±2.9
                With own children of the householder under 18 years,5.4%,±2.3
        Nonfamily households,30.7%,±5.2
            Male householder,10.8%,±3.4
                Living alone,8.6%,±3.0
                Not living alone,2.2%,±1.3
            Female householder,19.9%,±4.7
                Living alone,15.7%,±4.7
                Not living alone,4.2%,±1.8
    Average household size,2.85,±0.17
    Average family size,3.48,±0.17
