Label,Estimate,Margin of Error
    All families,3.0%,±1.6
        With related children of the householder under 18 years,6.3%,±3.4
            With related children of the householder under 5 years only,N,N
        Married-couple family,2.1%,±1.5
            With related children of the householder under 18 years,4.6%,±3.3
                With related children of the householder under 5 years only,N,N
"        Female householder, no husband present, family",7.4%,±7.9
            With related children of the householder under 18 years,14.2%,±13.5
                With related children of the householder under 5 years only,63.9%,±62.0
    All people,6.5%,±1.8
        Under 18 years,9.7%,±4.2
            Related children of the householder under 18 years,9.7%,±4.2
                Related children of the householder under 5 years,5.9%,±5.9
                Related children of the householder 5 to 17 years,11.0%,±4.7
        18 years and over,5.6%,±1.5
        18 to 64 years,6.4%,±1.8
        65 years and over,2.4%,±1.7
        People in families,4.5%,±2.0
        Unrelated individuals 15 years and over,17.0%,±5.3
