Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"47,110","±3,947"
"        Agriculture, forestry, fishing and hunting, and mining",0.0%,±0.3
        Construction,0.4%,±0.6
        Manufacturing,7.5%,±1.7
        Wholesale trade,2.8%,±1.1
        Retail trade,8.6%,±2.3
"        Transportation and warehousing, and utilities",4.0%,±1.4
        Information,2.8%,±1.7
"        Finance and insurance, and real estate and rental and leasing",6.0%,±1.7
"        Professional, scientific, and management, and administrative and waste management services",11.7%,±2.4
"        Educational services, and health care and social assistance",44.6%,±3.4
"        Arts, entertainment, and recreation, and accommodation and food services",6.4%,±1.9
        Other services (except public administration),3.0%,±1.2
        Public administration,2.2%,±1.2
