Label,Estimate,Margin of Error
    Population 16 years and over,"66,115","±5,044"
        In labor force,74.3%,±2.7
            Civilian labor force,74.2%,±2.8
                Employed,71.3%,±2.9
                Unemployed,3.0%,±0.9
                    Unemployment Rate,4.0%,±1.3
            Armed Forces,0.1%,±0.1
        Not in labor force,25.7%,±2.7
    Females 16 years and over,"38,146","±3,336"
        In labor force,71.3%,±3.5
            Civilian labor force,71.3%,±3.5
                Employed,69.3%,±3.4
                Unemployed,2.0%,±1.2
                    Unemployment Rate,2.8%,±1.7
