Label,Estimate,Margin of Error
    Population 16 years and over,"60,722","±5,730"
    In labor force,76.9%,±2.7
        Civilian labor force,76.9%,±2.7
            Employed,72.2%,±2.8
            Unemployed,4.7%,±1.6
                Percent of civilian labor force,6.1%,±2.1
        Armed Forces,0.0%,±0.2
    Not in labor force,23.1%,±2.7
    Females 16 years and over,"34,411","±3,083"
    In labor force,76.2%,±3.7
        Civilian labor force,76.2%,±3.7
            Employed,73.6%,±3.6
            Unemployed,2.6%,±1.2
                Percent of civilian labor force,3.4%,±1.5
