Label,Estimate,Margin of Error
    Population 25 years and over,"53,879","±4,887"
    Less than high school diploma,3.7%,±1.4
    High school graduate (includes equivalency),8.9%,±2.9
    Some college or associate's degree,28.6%,±4.8
    Bachelor's degree,49.3%,±4.5
    Graduate or professional degree,9.5%,±2.3
    High school graduate or higher,96.3%,±1.4
"    Male, high school graduate or higher",97.8%,±1.2
"    Female, high school graduate or higher",95.1%,±2.0
    Bachelor's degree or higher,58.8%,±5.3
"    Male, bachelor's degree or higher",53.4%,±7.1
"    Female, bachelor's degree or higher",62.8%,±5.6
