Label,Estimate,Margin of Error
    Total population,"75,245","±7,423"
    Male,43.9%,±2.1
    Female,56.1%,±2.1
    Under 5 years,7.1%,±1.7
    5 to 17 years,14.4%,±2.2
    18 to 24 years,6.9%,±1.6
    25 to 34 years,18.8%,±2.2
    35 to 44 years,17.0%,±2.3
    45 to 54 years,11.0%,±2.1
    55 to 64 years,11.5%,±2.3
    65 to 74 years,9.9%,±2.0
    75 years and over,3.3%,±1.1
    Median age (years),36.4,±1.8
    18 years and over,78.5%,±2.6
    21 years and over,75.8%,±2.6
    62 years and over,16.3%,±2.4
    65 years and over,13.2%,±2.2
    Under 18 years,"16,192","±2,855"
    Male,44.9%,±5.4
    Female,55.1%,±5.4
    18 years and over,"59,053","±5,599"
    Male,43.6%,±2.2
    Female,56.4%,±2.2
    18 to 34 years,"19,327","±2,968"
    Male,43.7%,±4.5
    Female,56.3%,±4.5
    35 to 64 years,"29,785","±3,148"
    Male,45.7%,±3.2
    Female,54.3%,±3.2
    65 years and over,"9,941","±1,761"
    Male,36.8%,±4.1
    Female,63.2%,±4.1
