Label,Estimate,Margin of Error
    All families,3.8%,±2.0
        With related children under 18 years,2.8%,±2.4
            With related children under 5 years only,N,N
    Married-couple family,3.4%,±2.3
        With related children under 18 years,N,N
            With related children under 5 years only,N,N
"    Female householder, no husband present, family",4.7%,±4.7
        With related children under 18 years,N,N
            With related children under 5 years only,N,N
    All people,5.6%,±1.8
    Under 18 years,3.6%,±2.6
        Related children under 18 years,3.6%,±2.6
            Related children under 5 years,4.8%,±4.6
            Related children 5 to 17 years,3.1%,±2.4
    18 years and over,6.1%,±2.0
    18 to 64 years,6.2%,±2.1
    65 years and over,5.5%,±4.2
    People in families,3.4%,±1.6
    Unrelated individuals 15 years and over,15.4%,±5.5
