Label,Estimate,Margin of Error
    Population 15 years and over,"61,214","±5,798"
"    Now married, except separated",50.4%,±3.6
    Widowed,5.1%,±1.4
    Divorced,6.4%,±1.8
    Separated,2.3%,±1.1
    Never married,35.7%,±3.6
    Male 15 years and over,"26,653","±3,283"
"    Now married, except separated",53.7%,±4.8
    Widowed,1.5%,±0.9
    Divorced,4.5%,±2.3
    Separated,2.6%,±2.1
    Never married,37.8%,±4.6
    Female 15 years and over,"34,561","±3,103"
"    Now married, except separated",47.9%,±4.2
    Widowed,7.8%,±2.1
    Divorced,8.0%,±2.2
    Separated,2.2%,±1.1
    Never married,34.1%,±4.5
