Label,Estimate,Margin of Error
    Native,"38,860","±4,617"
        Male,52.2%,±3.4
        Female,47.8%,±3.4
    Foreign born,"51,744","±5,926"
        Male,42.4%,±3.1
        Female,57.6%,±3.1
        Foreign born; naturalized U.S. citizen,"37,633","±5,480"
            Male,43.1%,±4.3
            Female,56.9%,±4.3
        Foreign born; not a U.S. citizen,"14,111","±2,869"
            Male,40.5%,±5.6
            Female,59.5%,±5.6
    Population born outside the United States,"51,744","±5,926"
        Entered 2010 or later,17.6%,±3.6
        Entered 2000 to 2009,26.9%,±3.3
        Entered before 2000,55.5%,±4.6
