Label,Estimate,Margin of Error
    Total population,"90,604","±8,602"
        Male,46.6%,±2.0
        Female,53.4%,±2.0
        Under 5 years,5.2%,±1.0
        5 to 17 years,15.6%,±1.9
        18 to 24 years,7.5%,±1.7
        25 to 34 years,13.8%,±1.5
        35 to 44 years,14.7%,±1.8
        45 to 54 years,13.8%,±2.1
        55 to 64 years,10.7%,±1.8
        65 to 74 years,10.1%,±1.7
        75 years and over,8.5%,±1.7
        Median age (years),41.0,±1.5
        18 years and over,79.2%,±2.2
        21 years and over,77.1%,±2.3
        62 years and over,22.2%,±2.7
        65 years and over,18.6%,±2.5
        Under 18 years,"18,859","±2,754"
            Male,52.4%,±5.2
            Female,47.6%,±5.2
        18 years and over,"71,745","±6,989"
            Male,45.1%,±2.3
            Female,54.9%,±2.3
        18 to 34 years,"19,289","±2,667"
            Male,46.3%,±5.5
            Female,53.7%,±5.5
        35 to 64 years,"35,580","±3,816"
            Male,46.0%,±3.3
            Female,54.0%,±3.3
        65 years and over,"16,876","±2,682"
            Male,41.8%,±6.1
            Female,58.2%,±6.1
