Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"50,820","±5,031"
"        Agriculture, forestry, fishing and hunting, and mining",0.2%,±0.3
        Construction,2.7%,±1.1
        Manufacturing,6.8%,±1.8
        Wholesale trade,0.5%,±0.4
        Retail trade,9.4%,±2.1
"        Transportation and warehousing, and utilities",6.0%,±1.7
        Information,1.4%,±0.9
"        Finance and insurance, and real estate and rental and leasing",7.3%,±2.2
"        Professional, scientific, and management, and administrative and waste management services",12.3%,±2.9
"        Educational services, and health care and social assistance",42.8%,±3.7
"        Arts, entertainment, and recreation, and accommodation and food services",7.2%,±2.0
        Other services (except public administration),2.5%,±1.1
        Public administration,0.9%,±0.8
