Label,Estimate,Margin of Error
    All families,1.9%,±1.4
        With related children of the householder under 18 years,2.6%,±2.5
            With related children of the householder under 5 years only,N,N
        Married-couple family,N,N
            With related children of the householder under 18 years,N,N
                With related children of the householder under 5 years only,N,N
"        Female householder, no spouse present, family",N,N
            With related children of the householder under 18 years,N,N
                With related children of the householder under 5 years only,N,N
    All people,4.0%,±1.6
        Under 18 years,2.6%,±2.7
            Related children of the householder under 18 years,N,N
                Related children of the householder under 5 years,N,N
                Related children of the householder 5 to 17 years,N,N
        18 years and over,4.4%,±1.7
            18 to 64 years,3.4%,±1.5
            65 years and over,7.6%,±5.5
        People in families,1.8%,±1.4
        Unrelated individuals 15 years and over,15.2%,±6.7
