Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"42,935","±3,960"
"        Agriculture, forestry, fishing and hunting, and mining",0.3%,±0.5
        Construction,0.7%,±0.5
        Manufacturing,3.8%,±1.4
        Wholesale trade,1.8%,±0.9
        Retail trade,7.4%,±1.9
"        Transportation and warehousing, and utilities",4.4%,±1.4
        Information,1.7%,±0.9
"        Finance and insurance, and real estate and rental and leasing",6.4%,±1.7
"        Professional, scientific, and management, and administrative and waste management services",11.1%,±2.1
"        Educational services, and health care and social assistance",48.5%,±3.9
"        Arts, entertainment, and recreation, and accommodation and food services",6.1%,±1.9
        Other services (except public administration),6.1%,±2.2
        Public administration,1.6%,±0.9
