Label,Estimate,Margin of Error
    All families,4.7%,±2.6
        With related children of the householder under 18 years,3.8%,±2.7
            With related children of the householder under 5 years only,N,N
        Married-couple family,3.4%,±3.0
            With related children of the householder under 18 years,N,N
                With related children of the householder under 5 years only,N,N
"        Female householder, no husband present, family",8.7%,±6.4
            With related children of the householder under 18 years,13.1%,±10.6
                With related children of the householder under 5 years only,N,N
    All people,5.5%,±1.7
        Under 18 years,3.7%,±2.7
            Related children of the householder under 18 years,3.4%,±2.7
                Related children of the householder under 5 years,N,N
                Related children of the householder 5 to 17 years,N,N
        18 years and over,5.9%,±1.9
        18 to 64 years,4.7%,±1.6
        65 years and over,11.5%,±7.7
        People in families,3.7%,±1.8
        Unrelated individuals 15 years and over,15.8%,±5.5
