Label,Estimate,Margin of Error
    Population 25 years and over,"60,253","±6,231"
        Less than high school diploma,2.4%,±1.1
        High school graduate (includes equivalency),7.5%,±2.5
        Some college or associate's degree,23.9%,±3.1
        Bachelor's degree,54.9%,±3.9
        Graduate or professional degree,11.3%,±1.9
    High school graduate or higher,97.6%,±1.1
"        Male, high school graduate or higher",97.4%,±1.6
"        Female, high school graduate or higher",97.7%,±1.2
    Bachelor's degree or higher,66.2%,±4.0
"        Male, bachelor's degree or higher",62.5%,±6.9
"        Female, bachelor's degree or higher",68.8%,±4.0
