Label,Estimate,Margin of Error
    All families,5.8%,±3.2
        With related children of the householder under 18 years,6.0%,±3.7
            With related children of the householder under 5 years only,N,N
        Married-couple family,3.5%,±3.3
            With related children of the householder under 18 years,N,N
                With related children of the householder under 5 years only,N,N
"        Female householder, no husband present, family",13.5%,±7.6
            With related children of the householder under 18 years,23.2%,±15.8
                With related children of the householder under 5 years only,N,N
    All people,6.9%,±2.0
        Under 18 years,5.0%,±3.3
            Related children of the householder under 18 years,4.8%,±3.3
                Related children of the householder under 5 years,5.6%,±5.4
                Related children of the householder 5 to 17 years,4.4%,±3.2
        18 years and over,7.4%,±2.0
        18 to 64 years,6.8%,±1.8
        65 years and over,9.6%,±5.9
        People in families,4.0%,±2.0
        Unrelated individuals 15 years and over,21.4%,±4.4
