Label,Estimate,Margin of Error
    Native,"33,632","±4,243"
        Male,52.1%,±3.9
        Female,47.9%,±3.9
    Foreign born,"50,078","±5,279"
        Male,39.5%,±2.5
        Female,60.5%,±2.5
    Foreign born; naturalized U.S. citizen,"35,849","±4,393"
        Male,40.8%,±3.2
        Female,59.2%,±3.2
    Foreign born; not a U.S. citizen,"14,229","±3,071"
        Male,36.3%,±4.7
        Female,63.7%,±4.7
    Population born outside the United States,"50,078","±5,279"
        Entered 2010 or later,14.2%,±4.0
        Entered 2000 to 2009,26.3%,±3.6
        Entered before 2000,59.5%,±4.9
