Label,Estimate,Margin of Error
    Population 15 years and over,"67,926","±6,772"
"        Now married, except separated",52.1%,±3.6
        Widowed,5.7%,±1.6
        Divorced,6.7%,±1.8
        Separated,1.2%,±0.6
        Never married,34.2%,±3.0
    Male 15 years and over,"28,853","±3,650"
"        Now married, except separated",53.1%,±4.7
        Widowed,1.2%,±0.9
        Divorced,5.5%,±2.8
        Separated,0.3%,±0.4
        Never married,39.9%,±4.6
    Female 15 years and over,"39,073","±3,799"
"        Now married, except separated",51.4%,±4.3
        Widowed,9.0%,±2.6
        Divorced,7.6%,±2.0
        Separated,1.9%,±1.0
        Never married,30.1%,±3.5
