Label,Estimate,Margin of Error
    Total population,"83,710","±8,098"
        Male,44.6%,±2.2
        Female,55.4%,±2.2
    Under 5 years,6.5%,±1.1
    5 to 17 years,14.6%,±2.0
    18 to 24 years,6.9%,±1.3
    25 to 34 years,14.2%,±2.0
    35 to 44 years,15.1%,±1.9
    45 to 54 years,12.3%,±1.6
    55 to 64 years,12.9%,±2.2
    65 to 74 years,11.2%,±1.8
    75 years and over,6.3%,±1.5
    Median age (years),40.3,±1.4
    18 years and over,78.9%,±2.1
    21 years and over,76.9%,±2.2
    62 years and over,21.7%,±2.7
    65 years and over,17.5%,±2.3
    Under 18 years,"17,674","±2,424"
        Male,55.2%,±4.9
        Female,44.8%,±4.9
    18 years and over,"66,036","±6,704"
        Male,41.7%,±2.4
        Female,58.3%,±2.4
    18 to 34 years,"17,653","±2,511"
        Male,46.0%,±5.3
        Female,54.0%,±5.3
    35 to 64 years,"33,720","±4,195"
        Male,43.0%,±3.6
        Female,57.0%,±3.6
    65 years and over,"14,663","±2,125"
        Male,33.7%,±4.6
        Female,66.3%,±4.6
