Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"49,218","±4,816"
"        Agriculture, forestry, fishing and hunting, and mining",0.2%,±0.3
        Construction,0.3%,±0.4
        Manufacturing,5.4%,±1.4
        Wholesale trade,1.3%,±0.6
        Retail trade,6%,±1.8
"        Transportation and warehousing, and utilities",4.8%,±1.5
        Information,1.7%,±1.2
"        Finance and insurance, and real estate and rental and leasing",7.6%,±1.6
"        Professional, scientific, and management, and administrative and waste management services",11.5%,±2.6
"        Educational services, and health care and social assistance",47.1%,±4.9
"        Arts, entertainment, and recreation, and accommodation and food services",8.5%,±2.3
        Other services (except public administration),4.5%,±1.8
        Public administration,1.1%,±0.6
