Label,Estimate,Margin of Error
    Population 15 years and over,"73,525","±6,206"
"        Now married, except separated",51.4%,±3.2
        Widowed,6%,±1.5
        Divorced,8.1%,±1.8
        Separated,1.2%,±0.7
        Never married,33.4%,±3
    Male 15 years and over,"30,279","±3,109"
"        Now married, except separated",53.9%,±4.9
        Widowed,2.5%,±2
        Divorced,5.9%,±2.5
        Separated,0.3%,±0.5
        Never married,37.4%,±5.1
    Female 15 years and over,"43,246","±3,775"
"        Now married, except separated",49.6%,±3.6
        Widowed,8.4%,±2
        Divorced,9.6%,±2.7
        Separated,1.8%,±1.1
        Never married,30.5%,±3.3
