Label,Estimate,Margin of Error
    All families,1.8%,±1.1
        With related children of the householder under 18 years,2.3%,±2
            With related children of the householder under 5 years only,N,N
    Married-couple family,N,N
        With related children of the householder under 18 years,2.2%,±2.2
            With related children of the householder under 5 years only,N,N
"    Female householder, no husband present, family",N,N
        With related children of the householder under 18 years,N,N
            With related children of the householder under 5 years only,-,**
    All people,5.4%,±1.7
    Under 18 years,3.2%,±3
        Related children of the householder under 18 years,3.2%,±3
            Related children of the householder under 5 years,N,N
            Related children of the householder 5 to 17 years,N,N
    18 years and over,6%,±1.8
    18 to 64 years,6.3%,±2.4
    65 years and over,5.2%,±2.9
    People in families,2.2%,±1.5
    Unrelated individuals 15 years and over,20.1%,±4.9
