Label,Estimate,Margin of Error
    Population 15 years and over,"63,668","±5,992"
"    Now married, except separated",51.4%,±3.8
    Widowed,5.8%,±1.4
    Divorced,6.9%,±1.9
    Separated,1.6%,±0.8
    Never married,34.4%,±3.1
    Male 15 years and over,"27,511","±3,350"
"    Now married, except separated",54.3%,±4.9
    Widowed,1.0%,±0.9
    Divorced,7.0%,±3.4
    Separated,0.6%,±0.5
    Never married,37.0%,±4.3
    Female 15 years and over,"36,157","±3,250"
"    Now married, except separated",49.2%,±4.3
    Widowed,9.4%,±2.4
    Divorced,6.8%,±2.1
    Separated,2.3%,±1.4
    Never married,32.3%,±3.6
