Label,Estimate,Margin of Error
    Population 16 years and over,"63,070","±5,924"
    In labor force,75.3%,±3.0
        Civilian labor force,75.3%,±3.0
            Employed,69.3%,±3.6
            Unemployed,6.1%,±1.7
                Percent of civilian labor force,8.1%,±2.3
        Armed Forces,0.0%,±0.2
    Not in labor force,24.7%,±3.0
    Females 16 years and over,"35,823","±3,227"
    In labor force,72.4%,±4.2
        Civilian labor force,72.4%,±4.2
            Employed,66.1%,±4.6
            Unemployed,6.2%,±2.2
                Percent of civilian labor force,8.6%,±3.0
