Label,Estimate,Margin of Error
    Households,"23,724","±2,363"
    Family households,72.4%,±4.6
        With own children under 18 years,31.0%,±5.2
        Married-couple family,52.3%,±4.9
            With own children under 18 years,23.7%,±4.8
"        Female householder, no husband present, family",16.1%,±3.7
            With own children under 18 years,5.9%,±2.8
    Nonfamily households,27.6%,±4.6
        Male householder,13.3%,±4.3
            Living alone,10.0%,±3.9
            Not living alone,3.2%,±2.4
        Female householder,14.3%,±3.3
            Living alone,10.7%,±3.3
            Not living alone,3.6%,±1.6
    Average household size,2.97,±0.17
    Average family size,3.48,±0.18
