Label,Estimate,Margin of Error
    All families,5.1%,±2.0
        With related children under 18 years,4.9%,±3.8
            With related children under 5 years only,N,N
    Married-couple family,2.4%,±1.6
        With related children under 18 years,N,N
            With related children under 5 years only,N,N
"    Female householder, no husband present, family",13.5%,±7.4
        With related children under 18 years,18.9%,±13.9
            With related children under 5 years only,N,N
    All people,7.0%,±1.8
    Under 18 years,8.2%,±5.8
        Related children under 18 years,7.4%,±5.9
            Related children under 5 years,15.6%,±14.7
            Related children 5 to 17 years,3.1%,±2.6
    18 years and over,6.6%,±1.3
    18 to 64 years,5.9%,±1.5
    65 years and over,10.1%,±4.3
    People in families,4.7%,±2.1
    Unrelated individuals 15 years and over,20.2%,±5.2
