Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"43,680","±4,997"
"    Agriculture, forestry, fishing and hunting, and mining",0.1%,±0.1
    Construction,0.4%,±0.3
    Manufacturing,4.8%,±1.5
    Wholesale trade,1.5%,±1.1
    Retail trade,6.2%,±1.9
"    Transportation and warehousing, and utilities",5.6%,±1.9
    Information,1.4%,±0.7
"    Finance and insurance, and real estate and rental and leasing",5.9%,±1.8
"    Professional, scientific, and management, and administrative and waste management services",11.9%,±2.8
"    Educational services, and health care and social assistance",48.8%,±5.0
"    Arts, entertainment, and recreation, and accommodation and food services",6.0%,±2.5
    Other services (except public administration),4.1%,±1.3
    Public administration,3.3%,±1.7
