Label,Estimate,Margin of Error
    Population 15 years and over,"68,620","±5,838"
"        Now married, except separated",51.1%,±3.1
        Widowed,4.9%,±1.3
        Divorced,7.5%,±2.0
        Separated,3.1%,±1.1
        Never married,33.4%,±3.0
    Male 15 years and over,"29,114","±2,710"
"        Now married, except separated",51.2%,±4.0
        Widowed,2.1%,±1.2
        Divorced,4.2%,±2.2
        Separated,3.2%,±2.2
        Never married,39.3%,±4.0
    Female 15 years and over,"39,506","±3,823"
"        Now married, except separated",51.0%,±3.9
        Widowed,7.0%,±2.1
        Divorced,9.9%,±2.5
        Separated,2.9%,±1.1
        Never married,29.1%,±3.8
