Label,Estimate,Margin of Error
    Native,"30,397","±3,615"
        Male,51.9%,±3.8
        Female,48.1%,±3.8
    Foreign born,"53,075","±5,716"
        Male,39.7%,±2.5
        Female,60.3%,±2.5
    Foreign born; naturalized U.S. citizen,"34,591","±4,035"
        Male,39.5%,±3.2
        Female,60.5%,±3.2
    Foreign born; not a U.S. citizen,"18,484","±4,019"
        Male,40.0%,±5.3
        Female,60.0%,±5.3
    Population born outside the United States,"53,075","±5,716"
        Entered 2010 or later,8.8%,±4.1
        Entered 2000 to 2009,28.1%,±4.7
        Entered before 2000,63.1%,±6.1
