Label,Estimate,Margin of Error
    All families,5.4%,±2.6
        With related children under 18 years,7.9%,±4.9
            With related children under 5 years only,N,N
        Married-couple family,4.0%,±3.0
            With related children under 18 years,7.1%,±6.4
                With related children under 5 years only,N,N
"        Female householder, no husband present, family",7.1%,±6.6
            With related children under 18 years,N,N
                With related children under 5 years only,N,N
    All people,8.5%,±3.2
        Under 18 years,11.2%,±7.8
            Related children under 18 years,10.4%,±7.9
                Related children under 5 years,22.9%,±25.0
                Related children 5 to 17 years,5.4%,±3.4
        18 years and over,7.7%,±2.2
        18 to 64 years,7.7%,±2.4
        65 years and over,7.7%,±4.9
        People in families,6.1%,±3.4
        Unrelated individuals 15 years and over,20.2%,±6.0
