Label,Estimate,Margin of Error
    Total population,"72,344","±6,851"
    Male,47.0%,±2.7
    Female,53.0%,±2.7
    Under 5 years,6.6%,±1.8
    5 to 17 years,12.5%,±2.5
    18 to 24 years,8.0%,±1.9
    25 to 34 years,20.0%,±2.6
    35 to 44 years,15.2%,±2.4
    45 to 54 years,9.4%,±1.9
    55 to 64 years,15.5%,±2.2
    65 to 74 years,9.0%,±1.6
    75 years and over,3.8%,±1.1
    Median age (years),36.6,±2.3
    18 years and over,80.9%,±2.8
    21 years and over,79.0%,±2.9
    62 years and over,16.8%,±2.3
    65 years and over,12.8%,±1.9
    Under 18 years,"13,839","±2,897"
    Male,58.3%,±10.1
    Female,41.7%,±10.1
    18 years and over,"58,505","±4,968"
    Male,44.4%,±2.5
    Female,55.6%,±2.5
    18 to 34 years,"20,249","±2,639"
    Male,49.5%,±6.3
    Female,50.5%,±6.3
    35 to 64 years,"29,020","±3,250"
    Male,41.2%,±3.6
    Female,58.8%,±3.6
    65 years and over,"9,236","±1,348"
    Male,43.0%,±5.8
    Female,57.0%,±5.8
