Label,Estimate,Margin of Error
    Population 15 years and over,"60,639","±5,225"
"    Now married, except separated",53.2%,±3.3
    Widowed,5.0%,±1.4
    Divorced,5.1%,±1.8
    Separated,0.6%,±0.4
    Never married,36.1%,±2.7
    Male 15 years and over,"26,786","±2,828"
"    Now married, except separated",54.5%,±4.4
    Widowed,1.5%,±1.3
    Divorced,4.2%,±2.3
    Separated,0.6%,±0.4
    Never married,39.3%,±4.5
    Female 15 years and over,"33,853","±3,187"
"    Now married, except separated",52.2%,±5.0
    Widowed,7.8%,±2.2
    Divorced,5.9%,±2.5
    Separated,0.7%,±0.6
    Never married,33.5%,±4.6
