Label,Estimate,Margin of Error
    Population 25 years and over,"52,711","±4,553"
    Less than high school diploma,4.4%,±1.8
    High school graduate (includes equivalency),6.8%,±2.5
    Some college or associate's degree,23.2%,±3.1
    Bachelor's degree,55.0%,±4.1
    Graduate or professional degree,10.6%,±2.2
    High school graduate or higher,95.6%,±1.8
"    Male, high school graduate or higher",95.9%,±2.2
"    Female, high school graduate or higher",95.4%,±2.1
    Bachelor's degree or higher,65.6%,±4.3
"    Male, bachelor's degree or higher",60.6%,±6.2
"    Female, bachelor's degree or higher",69.4%,±4.8
