Label,Estimate,Margin of Error
    Households,"24,310","±2,322"
    Family households,70.8%,±4.9
        With own children under 18 years,23.4%,±4.3
        Married-couple family,55.1%,±5.0
            With own children under 18 years,19.5%,±3.8
"        Female householder, no husband present, family",13.3%,±4.3
            With own children under 18 years,2.8%,±1.7
    Nonfamily households,29.2%,±4.9
        Male householder,13.7%,±3.5
            Living alone,11.6%,±3.4
            Not living alone,2.2%,±1.1
        Female householder,15.5%,±3.8
            Living alone,13.2%,±3.5
            Not living alone,2.3%,±1.9
    Average household size,2.81,±0.20
    Average family size,3.40,±0.22
