Label,Estimate,Margin of Error
    All families,3.1%,±2.2
        With related children under 18 years,4.2%,±3.7
            With related children under 5 years only,N,N
    Married-couple family,N,N
        With related children under 18 years,N,N
            With related children under 5 years only,N,N
"    Female householder, no husband present, family",N,N
        With related children under 18 years,32.5%,±26.0
            With related children under 5 years only,N,N
    All people,5.3%,±2.0
    Under 18 years,6.8%,±5.5
        Related children under 18 years,6.8%,±5.5
            Related children under 5 years,N,N
            Related children 5 to 17 years,N,N
    18 years and over,4.9%,±1.7
    18 to 64 years,4.6%,±1.6
    65 years and over,6.8%,±5.7
    People in families,3.1%,±2.1
    Unrelated individuals 15 years and over,17.4%,±5.4
