Label,Estimate,Margin of Error
    All families,5.4%,±2.4
        With related children of the householder under 18 years,7.6%,±4.6
            With related children of the householder under 5 years only,N,N
        Married-couple family,3.0%,±1.7
            With related children of the householder under 18 years,3.4%,±3.3
                With related children of the householder under 5 years only,N,N
"        Female householder, no spouse present, family",10.1%,±6.5
            With related children of the householder under 18 years,12.0%,±10.4
                With related children of the householder under 5 years only,N,N
    All people,7.3%,±2.1
        Under 18 years,9.4%,±4.9
            Related children of the householder under 18 years,9.4%,±4.9
                Related children of the householder under 5 years,16.1%,±16.1
                Related children of the householder 5 to 17 years,7.3%,±4.8
        18 years and over,6.8%,±1.8
            18 to 64 years,6.2%,±1.7
            65 years and over,8.7%,±4.2
        People in families,5.6%,±2.4
        Unrelated individuals 15 years and over,16.8%,±5.6
