Label,Estimate,Margin of Error
    Population 15 years and over,"74,070","±6,210"
"        Now married, except separated",53.4%,±3.4
        Widowed,4.9%,±1.2
        Divorced,5.7%,±1.4
        Separated,2.9%,±1.3
        Never married,33.1%,±3.2
    Male 15 years and over,"31,930","±3,097"
"        Now married, except separated",54.9%,±4.4
        Widowed,0.8%,±0.5
        Divorced,4.4%,±1.6
        Separated,1.9%,±1.6
        Never married,38.0%,±4.1
    Female 15 years and over,"42,140","±4,044"
"        Now married, except separated",52.2%,±4.1
        Widowed,8.1%,±2.1
        Divorced,6.7%,±1.9
        Separated,3.7%,±1.8
        Never married,29.3%,±4.1
