Label,Estimate,Margin of Error
    Total population,"90,566","±7,695"
        Male,45.0%,±2.3
        Female,55.0%,±2.3
        Under 5 years,5.0%,±1.6
        5 to 17 years,16.5%,±2.1
        18 to 24 years,5.6%,±1.2
        25 to 34 years,13.6%,±2.2
        35 to 44 years,17.7%,±2.5
        45 to 54 years,13.1%,±2.3
        55 to 64 years,11.0%,±2.0
        65 to 74 years,10.1%,±1.8
        75 years and over,7.4%,±1.5
        Median age (years),40.0,±1.5
        18 years and over,78.5%,±2.0
        21 years and over,76.5%,±2.2
        62 years and over,20.9%,±2.6
        65 years and over,17.5%,±2.4
        Under 18 years,"19,453","±2,625"
            Male,51.9%,±7.0
            Female,48.1%,±7.0
        18 years and over,"71,113","±6,044"
            Male,43.1%,±2.4
            Female,56.9%,±2.4
        18 to 34 years,"17,425","±2,523"
            Male,49.4%,±6.1
            Female,50.6%,±6.1
        35 to 64 years,"37,850","±3,946"
            Male,43.0%,±3.4
            Female,57.0%,±3.4
        65 years and over,"15,838","±2,544"
            Male,36.2%,±4.7
            Female,63.8%,±4.7
