Label,Estimate,Margin of Error
    Population 15 years and over,"73,398","±6,113"
"        Now married, except separated",56.1%,±4.5
        Widowed,4.6%,±1.3
        Divorced,4.8%,±1.7
        Separated,1.4%,±0.6
        Never married,33.0%,±3.6
    Male 15 years and over,"33,519","±3,368"
"        Now married, except separated",58.3%,±5.5
        Widowed,0.7%,±0.6
        Divorced,5.0%,±2.5
        Separated,1.0%,±0.7
        Never married,35.0%,±5.0
    Female 15 years and over,"39,879","±3,611"
"        Now married, except separated",54.2%,±4.9
        Widowed,8.0%,±2.2
        Divorced,4.7%,±1.9
        Separated,1.8%,±0.9
        Never married,31.4%,±4.1
