Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"47,687","±4,726"
"        Agriculture, forestry, fishing and hunting, and mining",0.1%,±0.2
        Construction,1.5%,±0.9
        Manufacturing,11.0%,±3.1
        Wholesale trade,2.4%,±1.3
        Retail trade,8.0%,±1.7
"        Transportation and warehousing, and utilities",6.5%,±1.6
        Information,1.3%,±0.7
"        Finance and insurance, and real estate and rental and leasing",4.5%,±1.5
"        Professional, scientific, and management, and administrative and waste management services",10.9%,±2.4
"        Educational services, and health care and social assistance",41.3%,±3.5
"        Arts, entertainment, and recreation, and accommodation and food services",6.0%,±2.3
        Other services (except public administration),3.6%,±1.2
        Public administration,2.7%,±1.0
